,Unnamed: 0,id,question,answerKey,choice_A,choice_B,choice_C,choice_D,split
307,307,MSA_2013_5_36,Many types of motion occur in our solar system. Which type of motion describes one Earth year?,B,the revolution of the sun around Earth,the revolution of Earth around the sun,the rotation of the sun around Earth,the rotation of Earth around the sun,train
308,308,LEAP_2006_8_10413,Which of these best defines communicable diseases?,C,They can be cured.,They are caused by bacteria.,They are spread to others.,They can spread only in winter.,train
309,309,MCAS_2009_8_3,Which of the following statements best explains why it is warmer at the equator than at the North Pole?,C,The equator has a larger area than the North Pole.,The equator is closer to the Sun than the North Pole.,The equator receives more direct sunlight than the North Pole.,The equator has more hours of daylight per year than the North Pole.,train
310,310,Mercury_7223195,Which statement best describes a liquid sample?,A,It will retain its volume if transferred to a larger container.,It keeps its shape when transferred to a larger container.,Its volume can be greatly reduced by adding pressure.,Its shape can be changed by increasing its temperature.,train
311,311,ACTAAP_2015_5_6,Which phrase best describes the mass of an object?,C,the weight of the object,the volume of the object,the amount of matter in the object,the amount of gravitational pull on the object,train
312,312,Mercury_7084280,A student observes zinc turning from a solid to a liquid in a laboratory investigation. Which statement describes the change in zinc atoms while melting?,B,The mass of the zinc atoms decreased.,The zinc atoms lost their relative fixed position.,The zinc atoms were changed into atoms of another element.,The size of the zinc atoms decreased.,train
313,313,Mercury_SC_LBS10615,All of these are examples of the ways Earth and the Moon interact except,C,the phases of the Moon.,the tides on Earth.,seasons on Earth.,lunar eclipses.,train
314,314,NCEOGA_2013_5_38,"In a grassland ecosystem, if the population of eagles suddenly decreased, what will most likely be the effect on the rest of the ecosystem?",A,The ecosystem will become overpopulated with snakes.,There will be a decrease in the population of snakes in the ecosystem.,The nutrition of the soil in the ecosystem will decrease.,More types of plants will begin growing in the ecosystem.,train
315,315,Mercury_7220220,"Ptolemy was an ancient astronomer who thought Earth was the center of the universe. When he made observations that were inconsistent with this, he proposed a phenomenon called ""epicycles"" to explain the observations. How was Ptolemy's process similar to the modern scientific process?",B,Ptolemy based his model partly on a belief system.,Observations inspired Ptolemy to modify his explanations.,Ptolemy tried to describe the universe instead of explaining it.,Experiments were the basis of Ptolemy's model of the universe.,train
316,316,Mercury_7202160,"New evidence suggests that ""hot spots"" may form in response to ""twisting"" stresses on plates. It is theorized that these stresses may eventually result in the splitting apart of the tectonic plate in the area of the hot spot. Which of the geographic features would be affected most by the splitting of a tectonic plate?",B,the Himalayas,the Hawaiian Islands,the San Andreas Fault,the Mid-Atlantic Ridge,train
317,317,Mercury_SC_LBS10647,All of these are ways to stay safe around electricity except,C,staying away from power lines.,using cords in good condition.,plugging many appliances into one outlet.,keeping electricity away from water.,train
318,318,Mercury_SC_401004,What enabled Galileo in the 17th century to see the moons of Jupiter?,C,Jupiter came close to Earth during his lifetime.,He realized that all of the planets go around the Sun.,He invented advanced tools for looking at the sky.,Earlier scientists failed to take an interest in the sky.,train
319,319,Mercury_7005408,A student uses a pH meter to measure the acidity of a water sample from a lake. For what purpose is the student most likely testing the water?,A,to learn what organisms could survive in the lake,to determine the age of the lake,to understand how people use the lake,to find out the depth of the lake,train
320,320,Mercury_7222810,"In the 17th century, Galileo proposed a hypothesis to explain how suction pumps work. Galileo's hypothesis was disproved, but later it helped Torricelli in the development of an instrument for measuring atmospheric pressure. How did Galileo's hypothesis most likely help with the development of this new technology?",D,by leading Galileo to design a different technology,by allowing another scientist to critique Galileo's hypothesis,by providing evidence of the effects of atmospheric pressure,by inspiring another scientist to test an alternative hypothesis,train
321,321,Mercury_7271180,What is the relationship between a community and a population?,D,A population is smaller than a community.,A population is larger than a community.,A population includes communities of organisms interacting.,A community includes populations of organisms interacting.,train
322,322,Mercury_7175683,Most volcanoes develop due to interactions between two tectonic plates. Which of the tectonic plate interactions is least likely to produce volcanic activity?,D,two diverging oceanic plates,two converging oceanic plates,two diverging continental plates,two converging continental plates,train
323,323,WASL_2005_8_11,Which of the following is an acquired human characteristic?,D,Eye color,Hair color,Height,Verbal accent,train
324,324,MEA_2014_8_15,"Bees can see wavelengths of only yellow, blue, and ultraviolet light. Many plant flowers consist of yellow, blue, and ultraviolet markings that are near the center of the flower. Which sentence describes which organisms benefit from this and explains why?",D,"Only plants benefit, because bees are unable to reach a food source on the plant.","Only bees benefit, because flowers are damaged by bees.","Neither bees nor plants benefit, because it does not help either to reproduce.","Both bees and plants benefit, because bees find food and plants are aided in reproduction.",train
